nom;pays;ville;adresse;latitude;longitude;prixMoyen;livraison;reservation;typeCuisine
RE-NAA;Norway;Stavanger;Nordbøgata 8, Stavanger, 4006, Norway;58.9739705;5.7308447;120;non;non;Creative
Maaemo;Norway;Oslo;Dronning Eufemias gate 23, Oslo, 0194, Norway;59.9075293;10.7586363;120;non;non;Modern Cuisine
ES:SENZ;Germany;Grassau;Mietenkamer Straße 65, Grassau, 83224, Germany;47.7856302;12.4656176;120;non;non;Creative
Waldhotel Sonnora;Germany;Dreis;Auf'm Eichelfeld 1, Dreis, 54518, Germany;49.9377323;6.8109342;120;non;non;Classic French
The Table Kevin Fehling;Germany;Hamburg;Shanghaiallee 15, Hamburg, 20457, Germany;53.5426398;10.0028597;120;non;non;Creative
Aqua;Germany;Wolfsburg;Parkstraße 1, Wolfsburg, 38440, Germany;52.4328494;10.7899785;120;non;non;Creative
JAN;Germany;Munich;Luisenstraße 27, Munich, 80333, Germany;48.1447975;11.5629878;120;non;non;Creative
Restaurant Bareiss;Germany;Baiersbronn;Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany;48.5205845;8.3269876;120;non;non;Classic French
Rutz;Germany;Berlin;Chausseestraße 8, Berlin, 10115, Germany;52.5283507;13.3860867;120;non;non;Modern Cuisine
Victor's Fine Dining by christian bau;Germany;Perl;Schlossstraße 27, Perl, 66706, Germany;49.5351732;6.3872109;120;non;non;Creative
schanz. restaurant.;Germany;Piesport;Bahnhofstraße 8a, Piesport, 54498, Germany;49.8776003;6.9266002;120;non;non;Modern French
Schwarzwaldstube;Germany;Baiersbronn;Tonbachstraße 237, Baiersbronn, 72270, Germany;48.5369113;8.3582803;120;non;non;Classic French
Le Gabriel - La Réserve Paris;France;Paris;La Réserve Paris, 42 avenue Gabriel, Paris, 75008, France;48.8697309;2.3132078;120;non;non;Creative
La Table du Castellet;France;Le Castellet;3001 route des Hauts-du-Camp, au Circuit Paul Ricard, Le Castellet, 83330, France;43.2499288;5.7838874;120;non;non;Creative
Zilte;Belgium;Antwerpen;Hanzestedenplaats 5, Antwerpen, 2000, Belgium;51.228828;4.4047543;120;non;non;Creative
Boury;Belgium;Roeselare;Rumbeeksesteenweg 300, Roeselare, 8800, Belgium;50.9374466;3.1403981;120;non;non;Creative French
Rozó;France;Marcq-en-Barœul;34 rue Raymond-Derain, Marcq-en-Barœul, 59700, France;50.6752;3.0909516;120;non;non;Creative
Villa René Lalique;France;Wingen-sur-Moder;18 rue Bellevue, Wingen-sur-Moder, 67290, France;48.9185;7.365027;120;non;non;Creative
Le Jules Verne;France;Paris;Tour Eiffel - 6 avenue Gustave-Eiffel, Paris, 75007, France;48.85756;2.29462;120;non;non;Modern Cuisine
Marsan par Hélène Darroze;France;Paris;4 rue d'Assas, Paris, 75006, France;48.8499883;2.3279216;120;non;non;Modern Cuisine
David Toutain;France;Paris;29 rue Surcouf, Paris, 75007, France;48.8602663;2.3097038;120;non;non;Creative
L'Abysse Monte-Carlo;France;Monaco;Square Beaumarchais, Monaco, 98000, France;43.7384886;7.4259282;120;non;non;Japanese
Le Taillevent;France;Paris;15 rue Lamennais, Paris, 75008, France;48.874195;2.3024829;120;non;non;Classic Cuisine
Palais Royal Restaurant;France;Paris;110 Galerie de Valois, Paris, 75001, France;48.8657851;2.3390887;120;non;non;Creative
Maison Aribert;France;Uriage-les-Bains;280 allée du Jeune-Bayard, Uriage-les-Bains, 38410, France;45.1417394;5.8315479;120;non;non;Creative
Table - Bruno Verjus;France;Paris;3 rue de Prague, Paris, 75012, France;48.8486151;2.3759654;120;non;non;Modern Cuisine
Blue Bay Marcel Ravin;France;Monaco;40 avenue Princesse-Grace, Monaco, 98000, France;43.7488966;7.4379746;120;non;non;Creative
L'Orangerie;France;Paris;Four Seasons George V, 31 avenue George-V, Paris, 75008, France;48.8687851;2.3008263;120;non;non;Modern Cuisine
Le Grand Restaurant - Jean-François Piège;France;Paris;7 rue d'Aguesseau, Paris, 75008, France;48.8701983;2.3193146;120;non;non;Creative
Guy Savoy;France;Paris;11 quai de Conti, Paris, 75006, France;48.8566248;2.3391955;120;non;non;Modern Cuisine
Restaurant Le Meurice Alain Ducasse;France;Paris;Le Meurice, 228 rue de Rivoli, Paris, 75001, France;48.86525;2.3278399;120;non;non;Creative
Relais de la Poste;France;Magescq;24 avenue de Maremne, Magescq, 40140, France;43.7787343;-1.2179647;120;non;non;Classic Cuisine
Paul Bocuse;France;Collonges-au-Mont-d'Or;40 quai de la Plage, Collonges-au-Mont-d'Or, 69660, France;45.8156437;4.8475623;120;non;non;Classic Cuisine
Takao Takano;France;Lyon;33 rue Malesherbes, Lyon, 69006, France;45.7704565;4.8426431;120;non;non;Creative
Mère Brazier;France;Lyon;12 rue Royale, Lyon, 69001, France;45.7714309;4.8372034;120;non;non;Classic Cuisine
Le Pré - Xavier Beaudiment;France;Clermont-Ferrand;Route de la Baraque, Clermont-Ferrand, 63000, France;45.7886787;3.0519431;120;non;non;Creative
JY'S;France;Colmar;3 allée du Champ-de-Mars, Colmar, 68000, France;48.0755636;7.3533263;120;non;non;Creative
Serge Vieira;France;Chaudes-Aigues;Le Couffour, Chaudes-Aigues, 15110, France;44.8442761;3.0019613;120;non;non;Creative
Sushi Yoshinaga;France;Paris;27 rue du 4-Septembre, Paris, 75002, France;48.8698375;2.3349558;120;non;non;Japanese
Le Neuvième Art;France;Lyon;173 rue Cuvier, Lyon, 69006, France;45.767953;4.8564194;120;non;non;Creative
Le Sarkara;France;Courchevel;Le K2 Palace, 238 rue des Clarines, Courchevel 1850, Courchevel, 73120, France;45.4122032;6.638871;120;non;non;Creative
Bras;France;Laguiole;Route de l'Aubrac, Laguiole, 12210, France;44.6807175;2.8938527;120;non;non;Creative
Le Skiff Club;France;Pyla-sur-Mer;Hôtel Ha(a)ïtza, 1 avenue Louis-Gaume, Pyla-sur-Mer, 33115, France;44.606014;-1.20669;120;non;non;Modern Cuisine
La Table des Amis;France;Bonnieux;Les Mas Les Eydins, 2420 chemin du Four, Bonnieux, 84480, France;43.8511871;5.3018513;120;non;non;Modern Cuisine
Maison Benoît Vidal;France;Annecy;Sur-les-Bois, 79 route de Thônes, Annecy, 74940, France;45.9226978;6.171891;120;non;non;Creative
Jean Sulpice;France;Talloires-Montmin;303 route du Port, Talloires-Montmin, 74290, France;45.8393308;6.210543;120;non;non;Creative
Duende;France;Nîmes;Quai de la Fontaine, Nîmes, 30900, France;43.8388191;4.3527079;120;non;non;Modern Cuisine
Py-r;France;Toulouse;19 descente de la Halle-aux-Poissons, Toulouse, 31000, France;43.599313;1.4408583;120;non;non;Creative
La Scène;France;Paris;32 avenue Matignon, Paris, 75008, France;48.8720059;2.3144577;120;non;non;Modern Cuisine
Les Ambassadeurs by Christophe Cussac;France;Monaco;Hôtel Métropole Monte-Carlo, 4 avenue de la Madone, Monaco, 98000, France;43.7405056;7.4275615;120;non;non;Modern Cuisine
Les Morainières;France;Jongieux;1400 route de Marestel, Jongieux, 73170, France;45.7449451;5.7982975;120;non;non;Creative
La Pyramide - Maison Henriroux;France;Vienne;14 boulevard Fernand-Point, Vienne, 38200, France;45.5166376;4.8668625;120;non;non;Modern Cuisine
Cédric Burtin;France;Saint-Rémy;Chemin de Martorez, Saint-Rémy, 71100, France;46.7567708;4.8200267;120;non;non;Creative
